# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-1535 b,Confirmed,,,,,,,0.227,0.017,0.022,138.9442,0.001214,0.001214,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1535,286.613698,38.891969,,,13.104,12.783,12.744,879,,,0,0.082,0.078,1.08,0.04,0.04,1.11,0.08,0.1,,,,,6021,92.04,94.56,,,
Kepler-1536 b,Confirmed,,,,,,,0.28,0.047,0.032,364.758031,0.00582,0.00582,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1536,291.585187,45.71579,,,13.306,12.697,12.55,401,,,0.05,0.198,0.166,0.71,0.05,0.04,0.67,0.04,0.03,,,,,4434,76.77,69.95,,,
Kepler-1537 b,Confirmed,,,,,,,0.105,0.008,0.005,1.4444538,2.33E-06,2.33E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1537,294.385398,43.82547,,,13.126,12.622,12.519,503,,,-0.08,0.16,0.159,0.81,0.05,0.04,0.77,0.04,0.04,,,,,5079,78.8,106.9,,,
Kepler-1538 b,Confirmed,,,,,,,0.252,0.028,0.062,175.138819,0.002807,0.002807,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1538,283.345714,45.274456,,,14.122,13.829,13.751,1291,,,0.02,0.167,0.137,1.03,0.06,0.05,1.03,0.09,0.26,,,,,5837,71.61,68.83,,,
Kepler-1539 b,Confirmed,,,,,,,0.241,0.013,0.017,133.3036741,0.0008843,0.0008843,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1539,284.219433,44.268543,,,13.931,13.5,13.382,788,,,-0.01,0.171,0.156,0.84,0.04,0.04,0.8,0.04,0.05,,,,,5176,57.95,55.53,,,
Kepler-154 b,Confirmed,,,,,,,0.202,0.039,0.039,33.040532,0.000215,0.000215,0.198,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-154,289.7805176,49.89653,,,13.389,13.089,12.986,,,,-0.391,,,0.89,,,1,0.19,0.19,,,,,5690,108,108,,,
Kepler-154 c,Confirmed,,,,,,,0.263,0.055,0.055,62.303276,0.000406,0.000406,0.303,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-154,289.7805176,49.89653,,,13.389,13.089,12.986,,,,-0.391,,,0.89,,,1,0.19,0.19,,,,,5690,108,108,,,
Kepler-154 d,Confirmed,,,,,,,0.343,0.021,0.029,20.54981883,2.57E-05,2.57E-05,,,,,,,,,,,2016,18/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-154,289.7805176,49.89653,,,13.389,13.089,12.986,,,,-0.391,,,0.89,,,1,0.19,0.19,,,,,5690,108,108,,,
Kepler-154 e,Confirmed,,,,,,,0.134,0.011,0.012,3.93276465,1.23E-05,1.23E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-154,289.7805176,49.89653,,,13.389,13.089,12.986,,,,-0.391,,,0.89,,,1,0.19,0.19,,,,,5690,108,108,,,
Kepler-154 f,Confirmed,,,,,,,0.134,0.019,0.03,9.91935684,7.79E-05,7.79E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-154,289.7805176,49.89653,,,13.389,13.089,12.986,,,,-0.391,,,0.89,,,1,0.19,0.19,,,,,5690,108,108,,,
Kepler-1540 b,Confirmed,,,,,,,0.222,0.012,0.017,125.4131177,0.0004189,0.0004189,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1540,283.344497,41.201741,,,12.25,11.664,11.519,262,,,0.1,0.196,0.154,0.74,0.04,0.03,0.69,0.03,0.03,,,,,4540,88.2,69.37,,,
Kepler-1541 b,Confirmed,,,,,,,0.103,0.007,0.009,8.40691199,2.70E-05,2.70E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1541,283.787004,48.029564,,,12.451,12.029,11.927,414,,,-0.04,0.164,0.152,0.86,0.04,0.04,0.81,0.04,0.06,,,,,5282,78.58,75.06,,,
Kepler-1542 b,Confirmed,,,,,,,0.068,0.007,0.01,3.95116882,1.63E-05,1.63E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1542,285.728495,42.65453,,,11.421,11.034,10.989,336,,,0.06,0.078,0.084,0.94,0.03,0.03,0.99,0.09,0.13,,,,,5564,63.29,63.25,,,
Kepler-1542 c,Confirmed,,,,,,,0.058,0.005,0.008,2.89223021,1.47E-05,1.47E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1542,285.728495,42.65453,,,11.421,11.034,10.989,336,,,0.06,0.078,0.084,0.94,0.03,0.03,0.99,0.09,0.13,,,,,5564,63.29,63.25,,,
Kepler-1542 d,Confirmed,,,,,,,0.078,0.008,0.011,5.99273738,2.26E-05,2.26E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1542,285.728495,42.65453,,,11.421,11.034,10.989,336,,,0.06,0.078,0.084,0.94,0.03,0.03,0.99,0.09,0.13,,,,,5564,63.29,63.25,,,
Kepler-1542 e,Confirmed,,,,,,,0.068,0.007,0.009,5.10115756,2.41E-05,2.41E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1542,285.728495,42.65453,,,11.421,11.034,10.989,336,,,0.06,0.078,0.084,0.94,0.03,0.03,0.99,0.09,0.13,,,,,5564,63.29,63.25,,,
Kepler-1543 b,Confirmed,,,,,,,0.242,0.045,0.108,6.96710269,3.29E-05,3.29E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1543,297.124312,47.037025,,,12.538,12.327,12.291,1114,,,0.07,0.144,0.137,1.39,0.14,0.23,1.65,0.3,0.74,,,,,6561,171.68,148.25,,,
Kepler-1544 b,Confirmed,,,,,,,0.159,0.006,0.008,168.811174,0.001271,0.001271,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1544,297.28499,49.212456,,,12.48,11.985,11.903,349,,,0.02,0.109,0.113,0.81,0.03,0.02,0.74,0.02,0.02,,,,,4886,56.64,73.93,,,
Kepler-1545 b,Confirmed,,,,,,,0.241,0.016,0.02,163.692349,0.001383,0.001383,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1545,298.898763,47.463093,,,13.643,13.141,13.139,688,,,-0.06,0.165,0.144,0.84,0.05,0.04,0.8,0.05,0.05,,,,,5201,84.36,136.42,,,
Kepler-1546 b,Confirmed,,,,,,,0.279,0.03,0.052,19.5974971,0.0001407,0.0001407,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1546,297.583942,41.541227,,,14.025,13.623,13.511,994,,,0.01,0.169,0.144,0.95,0.07,0.11,0.93,0.09,0.17,,,,,5623,260.22,325.49,,,
Kepler-1547 b,Confirmed,,,,,,,0.08,0.011,0.025,0.69297968,1.49E-06,1.49E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1547,283.764074,42.222172,,,12.332,12.063,11.996,665,,,0.04,0.151,0.134,1.12,0.08,0.1,1.18,0.14,0.36,,,,,6078,139.23,94.46,,,
Kepler-1548 b,Confirmed,,,,,,,0.236,0.019,0.048,124.828679,0.001524,0.001524,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1548,287.471233,46.080666,,,14.057,13.735,13.7,1150,,,0.05,0.157,0.138,0.99,0.05,0.04,0.97,0.07,0.19,,,,,5706,77.25,63.43,,,
Kepler-1549 b,Confirmed,,,,,,,0.229,0.018,0.02,214.886545,0.003111,0.003111,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1549,286.052426,39.096053,,,13.791,13.372,13.271,792,,,0.02,0.16,0.15,0.88,0.05,0.04,0.84,0.05,0.07,,,,,5324,124.08,103.58,,,
Kepler-155 b,Confirmed,,,,,,,0.186,0.019,0.019,5.931194,8.00E-06,8.00E-06,0.056,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-155,288.4958192,51.081947,,,12.533,11.888,11.805,,,,-0.363,,,0.58,,,0.62,0.03,0.03,,,,,4508,100,100,,,
Kepler-155 c,Confirmed,,,,,,,0.2,0.013,0.013,52.661793,0.000236,0.000236,0.242,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-155,288.4958192,51.081947,,,12.533,11.888,11.805,,,,-0.363,,,0.58,,,0.62,0.03,0.03,,,,,4508,100,100,,,
Kepler-1550 b,Confirmed,,,,,,,0.269,0.034,0.063,225.582809,0.003846,0.003846,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1550,287.76456,38.294704,,,13.812,13.49,13.427,1202,,,0.01,0.184,0.12,1.07,0.08,0.1,1.11,0.14,0.26,,,,,5991,159.37,161.09,,,
Kepler-1551 b,Confirmed,,,,,,,0.237,0.037,0.081,24.4973698,0.0002094,0.0002094,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1551,295.785514,39.907921,,,14.1,13.783,13.77,1560,,,0.01,0.17,0.135,1.14,0.09,0.17,1.22,0.18,0.42,,,,,6136,164.67,242.35,,,
Kepler-1552 b,Confirmed,,,,,,,0.22,0.009,0.01,184.771853,0.001546,0.001546,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1552,291.676831,38.874915,,,13.504,13.005,12.881,618,,,-0.07,0.108,0.105,0.85,0.04,0.03,0.78,0.02,0.02,,,,,5202,75.4,85.4,,,
Kepler-1553 b,Confirmed,,,,,,,0.103,0.008,0.009,4.24261881,2.78E-05,2.78E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1553,291.919159,39.022273,,,13.677,13.17,13.167,719,,,-0.09,0.17,0.143,0.85,0.05,0.04,0.81,0.05,0.06,,,,,5288,66.74,98.79,,,
Kepler-1554 b,Confirmed,,,,,,,0.259,0.024,0.021,198.088774,0.002456,0.002456,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1554,286.576164,41.741473,,,14.367,13.932,13.814,982,,,-0.1,0.185,0.166,0.84,0.06,0.05,0.81,0.06,0.06,,,,,5297,97.44,102.5,,,
Kepler-1555 b,Confirmed,,,,,,,0.144,0.015,0.041,8.10501635,8.12E-05,8.12E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1555,287.635473,45.716061,,,14.221,13.942,13.834,1382,,,0.03,0.174,0.141,1.04,0.06,0.06,1.06,0.1,0.3,,,,,5866,82.62,71.46,,,
Kepler-1556 b,Confirmed,,,,,,,0.175,0.013,0.036,8.82713457,4.03E-05,4.03E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1556,288.397002,40.2132,,,13.998,13.695,13.555,1060,,,0.08,0.156,0.156,0.97,0.05,0.05,0.95,0.07,0.19,,,,,5608,91.9,69.12,,,
Kepler-1557 b,Confirmed,,,,,,,0.136,0.019,0.045,3.74032496,2.17E-05,2.17E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1557,293.881413,46.838879,,,14.194,13.911,13.8,1532,,,0.02,0.173,0.137,1.11,0.1,0.14,1.17,0.15,0.38,,,,,6099,191.52,112,,,
Kepler-1558 b,Confirmed,,,,,,,0.061,0.004,0.005,3.50470358,1.61E-05,1.61E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1558,286.819367,46.911694,,,12.204,11.738,11.657,343,,,0,0.157,0.151,0.83,0.04,0.04,0.79,0.04,0.04,,,,,5101,59.69,59.21,,,
Kepler-1559 b,Confirmed,,,,,,,0.064,0.004,0.006,0.97191543,3.79E-06,3.79E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1559,292.28658,42.072456,,,13.155,12.731,12.634,580,,,-0.04,0.167,0.158,0.86,0.05,0.04,0.82,0.05,0.06,,,,,5316,97.87,98.57,,,
Kepler-156 b,Confirmed,,,,,,,0.205,0.015,0.015,4.973456,8.00E-06,8.00E-06,0.054,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-156,290.2965089,37.749489,,,12.735,12.255,12.155,,,,-0.014,,,,,,0.81,0.05,0.05,,,,,5094,100,100,,,
Kepler-156 c,Confirmed,,,,,,,0.227,0.017,0.017,15.906801,4.50E-05,4.50E-05,0.117,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-156,290.2965089,37.749489,,,12.735,12.255,12.155,,,,-0.014,,,,,,0.81,0.05,0.05,,,,,5094,100,100,,,
Kepler-1560 b,Confirmed,,,,,,,0.079,0.008,0.016,3.03195744,1.31E-05,1.31E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1560,292.784608,43.215984,,,12.247,11.912,11.868,529,,,0.04,0.154,0.141,1.02,0.06,0.06,1.02,0.1,0.2,,,,,5815,136.29,103.32,,,
Kepler-1561 b,Confirmed,,,,,,,0.097,0.016,0.023,1.00520701,5.10E-06,5.10E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1561,296.923604,43.566467,,,13.453,13.116,13.053,993,,,0.04,0.16,0.145,1.07,0.09,0.12,1.11,0.15,0.27,,,,,5957,233.87,196.63,,,
Kepler-1562 b,Confirmed,,,,,,,0.317,0.037,0.089,64.2737752,0.0007141,0.0007141,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1562,294.455709,46.743614,,,14.169,13.903,13.849,1315,,,0.11,0.142,0.147,1.02,0.05,0.06,1.05,0.11,0.29,,,,,5760,73.97,63.34,,,
Kepler-1563 b,Confirmed,,,,,,,0.067,0.007,0.011,3.43276598,2.98E-05,2.98E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1563,288.573588,51.472755,,,12.41,12.079,12.013,547,,,0.02,0.169,0.143,1,0.05,0.05,0.99,0.08,0.15,,,,,5765,106.69,100.22,,,
Kepler-1564 b,Confirmed,,,,,,,0.131,0.012,0.017,18.0540381,0.0001919,0.0001919,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1564,290.586124,46.642689,,,13.711,13.361,13.283,872,,,0.03,0.159,0.142,0.93,0.05,0.04,0.9,0.05,0.11,,,,,5528,90.36,77.11,,,
Kepler-1565 b,Confirmed,,,,,,,0.106,0.011,0.007,1.53818844,6.86E-06,6.86E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1565,297.952967,40.806808,,,13.917,13.318,13.259,657,,,-0.16,0.235,0.161,0.76,0.06,0.04,0.73,0.06,0.04,,,,,4940,52.6,81.88,,,
Kepler-1566 b,Confirmed,,,,,,,0.07,0.004,0.007,0.53991524,1.35E-06,1.35E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1566,283.587614,40.574927,,,12.946,12.478,12.435,511,,,-0.07,0.16,0.144,0.84,0.05,0.04,0.81,0.05,0.06,,,,,5254,89.64,97.81,,,
Kepler-1567 b,Confirmed,,,,,,,0.244,0.021,0.036,153.979578,0.001785,0.001785,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1567,286.6952,40.291819,,,14.371,13.969,13.992,1226,,,-0.03,0.16,0.141,0.95,0.06,0.06,0.93,0.07,0.13,,,,,5655,167.77,149.03,,,
Kepler-1568 b,Confirmed,,,,,,,0.116,0.013,0.019,20.925392,0.0002521,0.0002521,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1568,289.182664,47.873383,,,12.929,12.639,12.618,883,,,0.09,0.079,0.082,1.09,0.04,0.04,1.19,0.13,0.18,,,,,5956,55.35,69.05,,,
Kepler-1569 b,Confirmed,,,,,,,0.15,0.028,0.065,5.79180156,3.62E-05,3.62E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1569,292.204706,37.22122,,,12.888,12.604,12.59,1050,,,0.06,0.139,0.132,1.25,0.13,0.21,1.4,0.25,0.61,,,,,6319,219.91,179.66,,,
Kepler-157 b,Confirmed,,,,,,,0.118,0.023,0.023,1.732342,6.00E-06,6.00E-06,0.028,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-157,291.097229,38.87561,,,12.939,12.627,12.573,,,,-0.108,,,,,,1.04,0.2,0.2,,,,,5774,125,125,,,
Kepler-157 c,Confirmed,,,,,,,0.2,0.038,0.038,13.5405,4.90E-05,4.90E-05,0.11,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-157,291.097229,38.87561,,,12.939,12.627,12.573,,,,-0.108,,,,,,1.04,0.2,0.2,,,,,5774,125,125,,,
Kepler-157 d,Confirmed,,,,,,,0.13,0.009,0.014,7.02573474,2.39E-05,2.39E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-157,291.097229,38.87561,,,12.939,12.627,12.573,,,,-0.108,,,,,,1.04,0.2,0.2,,,,,5774,125,125,,,
Kepler-1570 b,Confirmed,,,,,,,0.095,0.009,0.017,26.548955,0.0003047,0.0003047,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1570,299.861833,45.827354,,,12.489,12.046,11.997,463,,,-0.04,0.172,0.146,0.92,0.07,0.09,0.89,0.08,0.15,,,,,5550,239.62,289.64,,,
Kepler-1571 b,Confirmed,,,,,,,0.136,0.03,0.061,3.38555488,1.60E-05,1.60E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1571,300.935406,45.596546,,,12.477,12.151,12.044,802,,,0.04,0.161,0.13,1.23,0.16,0.25,1.39,0.3,0.62,,,,,6297,313.54,339.05,,,
Kepler-1572 b,Confirmed,,,,,,,0.084,0.007,0.017,5.49548621,2.92E-05,2.92E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1572,281.897275,46.722633,,,12.685,12.356,12.365,600,,,0.08,0.141,0.138,0.97,0.04,0.04,0.95,0.07,0.19,,,,,5618,70.62,62.91,,,
Kepler-1573 b,Confirmed,,,,,,,0.107,0.01,0.021,2.6157554,1.50E-05,1.50E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1573,292.988348,49.48497,,,14.021,13.68,13.677,1180,,,0.02,0.163,0.135,1.01,0.05,0.05,1,0.08,0.18,,,,,5808,98.49,84.07,,,
Kepler-1574 b,Confirmed,,,,,,,0.115,0.013,0.025,6.9424334,6.01E-05,6.01E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1574,292.158664,49.63776,,,13.972,13.672,13.679,1275,,,0.08,0.153,0.138,1.06,0.06,0.06,1.08,0.1,0.23,,,,,5892,107.29,85.09,,,
Kepler-1575 b,Confirmed,,,,,,,0.117,0.012,0.018,2.55314213,1.30E-05,1.30E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1575,293.74325,45.761597,,,14.268,13.871,13.828,1170,,,-0.07,0.189,0.155,0.95,0.06,0.06,0.92,0.07,0.14,,,,,5667,92.37,140.13,,,
Kepler-1576 b,Confirmed,,,,,,,0.093,0.012,0.026,6.98471973,5.94E-05,5.94E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1576,289.073975,40.366015,,,12.197,11.889,11.8,539,,,0.05,0.161,0.147,1.05,0.07,0.07,1.06,0.11,0.28,,,,,5876,147.58,104.99,,,
Kepler-1577 b,Confirmed,,,,,,,0.101,0.01,0.004,6.30560247,3.67E-05,3.67E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1577,292.955275,47.573105,,,13.491,12.936,12.862,543,,,0,0.164,0.149,0.78,0.04,0.04,0.74,0.03,0.03,,,,,4862,75.08,84.27,,,
Kepler-1578 b,Confirmed,,,,,,,0.093,0.01,0.01,1.45088691,6.95E-06,6.95E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1578,288.302,47.775555,,,14.157,13.784,13.655,1016,,,-0.13,0.2,0.172,0.9,0.07,0.05,0.86,0.07,0.09,,,,,5545,74.33,73.2,,,
Kepler-1579 b,Confirmed,,,,,,,0.075,0.004,0.005,0.84990789,2.93E-06,2.93E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1579,293.288009,43.514988,,,13.439,12.855,12.744,466,,,0.11,0.201,0.134,0.75,0.04,0.03,0.7,0.03,0.02,,,,,4584,74.2,61.63,,,
Kepler-158 b,Confirmed,,,,,,,0.189,0.032,0.032,16.709184,6.40E-05,6.40E-05,0.111,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-158,284.0322572,39.781349,,,12.722,12.138,12.057,,,,-0.232,,,,,,0.62,0.08,0.08,,,,,4623,200,200,,,
Kepler-158 c,Confirmed,,,,,,,0.17,0.027,0.027,28.551383,0.00014,0.00014,0.158,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-158,284.0322572,39.781349,,,12.722,12.138,12.057,,,,-0.232,,,,,,0.62,0.08,0.08,,,,,4623,200,200,,,
